quarter,auc,f1,rmse,n_train,n_test
2019-06-30,0.5315234173957797,0.48535564853556484,0.0709738096536298,1000,250
2019-09-30,0.6548536209553157,0.5283018867924528,0.05376531102349373,1250,250
2019-12-31,0.3536905447794636,0.24083769633507854,0.06916471730881445,1500,250
2020-03-31,0.3937648037897702,0.5016949152542373,0.07095119081741719,1750,250
2020-06-30,0.6214139344262296,0.5690376569037657,0.07873937588257637,2000,250
2020-09-30,0.8602522245694898,0.7136150234741784,0.10211923988120979,2250,250
2020-12-31,0.3817069243156199,0.3983050847457627,0.1102433182167329,2500,250
2021-03-31,0.5458269329237071,0.582089552238806,0.051319684254372826,2750,250
2021-06-30,0.5400797735460628,0.4666666666666667,0.05539171679902037,3000,250
2021-09-30,0.49151782856411247,0.5,0.058856665161663206,3250,250
2021-12-31,0.47461538461538466,0.43333333333333335,0.07531054818227913,3500,250
2022-03-31,0.2504494093477144,0.2347417840375587,0.07793880307454541,3750,250
2022-06-30,0.5620818322182193,0.5083333333333333,0.05266619576071401,4000,250
2022-09-30,0.41245364044505173,0.5324675324675324,0.062083652445272704,4250,250
2022-12-31,0.5289298515104967,0.5166666666666667,0.05869507194778437,4500,250
2023-03-31,0.5248327328872877,0.4472573839662447,0.047793626190719266,4750,250
2023-06-30,0.666688012295082,0.5764192139737991,0.05815844329319673,5000,250
2023-09-30,0.6181946584488958,0.609375,0.06152759158210632,5250,250
2023-12-31,0.5173376623376623,0.4372093023255814,0.04924662684907596,5500,250
2024-03-31,0.6208695652173912,0.3270440251572327,0.04720167768232008,5750,250
